"Countries and regions","Population (Total)","Population (Under18)","Population (Under 5)","Annual population growth rate (2000-2020)","Annual population growth rate (2020-2030)","Annual number of births (thousands)","Total fertility (live births per woman)","Life expectancy at birth (1970)","Life expectancy at birth (2000)","Life expectancy at birth (2021)","Dependency ratio (total)","Dependency ratio (child)","Dependency ratio (old age)","Share of urban population (%)","Annual growth rate of urban population (2000-2020)","Annual growth rate of urban population (2020-2030)","Net migration rate (per 1,000 population)","Out-of-school rate: one year before primary entry age (Male)","Out-of-school rate: one year before primary entry age (Female)","Out-of-school rate: primary education (Male)","Out-of-school rate: primary education (Female)","Out-of-school rate: lower secondary education (Male)","Out-of-school rate: lower secondary education (Female)","Out-of-school rate: upper secondary education (Male)","Out-of-school rate: upper secondary education (Female)","Gini coefficient","GDP per capita"
"Mozambique",32077.072,"16167.655500000001","5260.3514999999998",2.67758498720404,2.47196213660214,1174.346,4.6444,41.7553,49.4912,59.3247,"86.123999999999995","81.308000000000007","4.8159999999999998","37.628","3.8311396158407098","3.7933227392571101",-0.297,NA,NA,"1.0876300000000001","3.72295","34.966729999999998","40.983580000000003","56.584829999999997","65.889750000000006","3.83","503.57077270000002"
"Myanmar",53798.0845,"16125.124","4491.3954999999996",0.760431610881689,0.587173344469543,920.395,2.1514,50.7126,60.1546,65.6716,"46.006999999999998","36.329000000000001","9.6780000000000008","31.448","1.4354931128000701","1.64660086675558",-0.657,"88.271860000000004","88.189940000000007",NA,NA,"22.107230000000001","19.814540000000001","46.89922","38.39902","1.17","1407.8131430000001"
"Namibia",2530.1505,"1060.4585","332.5745",1.49312373429797,1.42047208301707,69.486,3.3025,53.6304,51.9903,59.269,"67.319000000000003","60.58","6.74","53.005000000000003","3.7529017849320101","2.8303490002475198",-1.698,"32.640590000000003","29.608419999999999",NA,NA,"2.68947","0.49104999999999999","22.002459999999999","23.26538","6.2","4957.4582220000002"
"Nauru",12.5115,"5.5655000000000001","1.71",0.815592369490111,0.739067497554028,0.346,3.5187,60.0421,58.7323,63.617,"69.855000000000004","65.971999999999994","3.883","100","0.81559236949011105","0.73906749755402801",-5.261,"7.9808899999999996","0","5.7989699999999997","2.8720599999999998","12.32558","3.50467","51.515149999999998","60.101010000000002","1.85","9396.9819669999997"
"Nepal",30034.9895,"10741.8585","2951.7294999999999",0.848319127874795,1.10269017520233,609.79,2.0293,42.8266,62.6145,68.4495,"54.896000000000001","45.527000000000001","9.3689999999999998","21.007999999999999","2.8916264934003202","2.9995391023112701",9.922,"6.17936","15.03393",NA,NA,"7.43954","3.1643400000000002","25.826740000000001","12.69271","1.29","1071.050761"
"Netherlands",17501.6955,"3308.5320000000002","865.6925",0.438998069486438,0.26173173518214,180.273,1.6404,73.6279,78.1222,81.6873,"54.927999999999997","24.018000000000001","30.91","92.572000000000003","1.31143128862208","0.50629435436826997",3.287,"2.6932100000000001","2.3090799999999998","1.38737","0.53208","3.2571599999999998","2.2717399999999999","1.25868","0.48169000000000001","0.99","52295.039049999999"
"New Zealand",5129.7275,"1159.2384999999999","310.23349999999999",1.29595459113496,0.748818539809644,63.557,1.7733,71.2195,78.6782,82.4513,"53.418999999999997","28.981999999999999","24.437000000000001","86.789000000000001","1.3333398159118399","0.86716131045275802",7.479,"7.8233800000000002","9.2433899999999998","1.32287","0.57011999999999996","0.17013","2.6190000000000001E-2","4.0150100000000002","0.79569999999999996","1.37","41557.802409999997"
"Nicaragua",6850.54,"2450.9360000000001","697.80449999999996",1.31729474045973,1.17576696874978,140.589,2.3213,54.9503,67.2335,73.8368,"54.406999999999996","46.442","7.9649999999999999","59.277000000000001","1.6365787206048401","1.66328093082067",-1.515,NA,NA,NA,NA,NA,NA,NA,NA,"2.6","1912.9037450000001"
"Niger",25252.722,"14055.611000000001","4972.1764999999996",3.51858391625848,3.36087237233884,1144.371,6.82,36.0615,49.3216,61.5763,"105.44","100.47","4.97","16.751000000000001","3.64630326880794","4.4271303116132099",-0.174,"76.306569999999994","76.045689999999993","37.269410000000001","44.906529999999997","60.968380000000003","69.057760000000002","83.510930000000002","88.884100000000004","1.38","553.89505039999995"
"Nigeria",213401.3225,"106611.133","34830.798499999997",2.51490789390643,2.10405925094557,7923.294,5.2374,39.7131,47.1928,52.676,"86.108000000000004","80.558999999999997","5.5490000000000004","52.746000000000002","4.4180962173838498","3.28860483185123",-0.358,NA,NA,NA,NA,NA,NA,NA,NA,"1.43","2229.8586959999998"
"Niue",1.937,"0.60350000000000004","0.14399999999999999",-0.310772368783969,0.028036750336012,0.027,2.4485,64.0004,67.4341,70.819,"70.361000000000004","44.942999999999998","25.417999999999999","46.890999999999998","1.28173620047655","1.18144928192857",-2.043,"0","38.095239999999997",NA,NA,NA,NA,NA,NA,NA,NA
"North Macedonia",2103.33,"407.92200000000003","105.471",0.167896918436974,-0.168709189912743,20.114,1.3633,63.7347,72.8567,73.8415,"44.58","23.228000000000002","21.352","58.786000000000001","0.16252588968186801","0.47150560142181802",-0.231,"51.468339999999998","51.141970000000001","0.61029","0.79232999999999998",NA,NA,NA,NA,"1.1000000000000001","6022.216179"
"Norway",5403.021,"1107.8510000000001","279.90350000000001",0.859705654587936,0.602387138710127,53.868,1.5034,74.0714,78.6919,83.2339,"53.999000000000002","26.128","27.870999999999999","83.322999999999993","1.27651918863305","0.93679296958940494",1.964,"4.4895199999999997","4.3273999999999999","4.5900000000000003E-2","0.11974","0.36675000000000002","1.2541500000000001","8.4805200000000003","7.8667199999999999","0.87","75419.634869999994"
"Oman",4520.471,"1368.6555000000001","443.01949999999999",3.15099183793521,1.03877703212824,83.496,2.6233,47.6785,73.4658,72.5406,"41.966000000000001","38.003999999999998","3.9620000000000002","87.043999999999997","4.0409415543257499","1.5917692396022001",-4.558,"13.44289","14.009510000000001",NA,NA,"2.40822","2.9162499999999998","7.6554500000000001","16.858799999999999",NA,"15343.062"
"Pakistan",231402.1165,"100537.57950000001","29604.478500000001",1.84030722724868,1.70382409652397,6374.741,3.4698,54.7599,62.1018,66.0979,"69.956999999999994","62.781999999999996","7.1749999999999998","37.44","2.40890484663286","2.5253614874612702",-2.035,"0","11.90822",NA,NA,NA,NA,NA,NA,"1.37","1284.702041"
"Palau",18.024,"4.5065","1.3065",-0.443320113072449,-0.0268489889966809,0.273,2.409,56.4697,65.8914,66.0204,"43.841000000000001","30.154","13.686999999999999","81.483000000000004","0.22805513564909199","0.41729660535467",0.166,"20.013570000000001","0",NA,NA,NA,NA,NA,NA,"3.8","14901.98353"
"Panama",4351.267,"1365.6255000000001","384.82499999999999",1.70534164048466,1.13250829818436,76.933,2.3252,65.0832,74.0015,76.2233,"53.783999999999999","40.610999999999997","13.172000000000001","68.775000000000006","2.1589351507702998","1.6250635043564099",1.259,"88.181569999999994","88.321240000000003","10.40943","10.61598","12.72752","11.60816","35.45599","30.830110000000001","3.43","15731.016030000001"
"Papua New Guinea",9949.437,"4056.8919999999998","1206.5035",2.7189274737985,1.5917702487202,253.72,3.2147,52.1266,61.7199,65.3506,"60.48","55.497999999999998","4.9809999999999999","13.456","2.7695082779201301","2.7660094818222398",1.075,"28.440619999999999","28.794129999999999","4.4779400000000003","10.375389999999999","23.647770000000001","31.64995","50.142690000000002","60.19473","2.06","2829.1703090000001"
"Paraguay",6703.799,"2305.3389999999999","681.63300000000004",1.21903886267603,1.04558908147289,138.365,2.4689,62.6844,69.7502,70.2617,"54.439","44.819000000000003","9.6189999999999998","62.496000000000002","1.77498324537562","1.5460228627093899",-1.227,"22.65654","22.527529999999999",NA,NA,NA,NA,"31.839960000000001","28.150200000000002","2.75","5414.7991380000003"
